"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"4723",3145,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","EMBER WAY","2790 EMBER WAY","Good","11 - 15","31-50","No","Street"
"4725",26316,"oak","oak, white","Quercus","Quercus alba","E EISENHOWER PKWY","3025 BOARDWALK DR","Very Good","0 - 5","10 - 20","No","Street"
"4726",23113,"maple","maple, Norway","Acer","Acer platanoides","CATALPA CIR","2823 PEBBLE CREEK RD","Neutral","11 - 15","31-50","No","Street"
"4727",10129,"maple","maple, Norway","Acer","Acer platanoides","ORCHARD HILLS DR","205 ORCHARD HILLS DR","Neutral","11 - 15","31-50","No","Street"
"4729",33933,"maple","maple, red","Acer","Acer rubrum","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Good","0 - 5","11-20","No","Park"
"4730",33982,"oak","oak, northern red","Quercus","Quercus rubra","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Very Bad","0 - 5","11-20","No","Park"
"4731",33939,"cherry/plum","cherry/plum, spp.","Prunus","Prunus spp.","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","0 - 10","No","Park"
"4732",33988,"cherry/plum","cherry/plum, spp.","Prunus","Prunus spp.","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","0 - 10","No","Park"
"4733",348597,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","VALLEY DR"," VALLEY DR","Very Good","0 - 5","0 - 10","No","Street"
"4734",16670,"linden","linden, littleleaf","Tilia","Tilia cordata","N MAPLE RD","501 N MAPLE RD","Neutral","11 - 15","31-50","No","Street"
"4735",348603,"hackberry","hackberry, common","Celtis","Celtis occidentalis","VALLEY DR","2631 VALLEY DR","Very Good","0 - 5","0 - 10","No","Street"
"4736",26949,"spruce","spruce, Colorado","Picea","Picea pungens","ELLSWORTH RD","836 PHOENIX DR","Neutral","11 - 15","31-50","No","Street"
"4737",10178,"pine","pine, Scotch","Pinus","Pinus sylvestris","HUNTINGTON DR","475 HUNTINGTON DR","Neutral","6 - 10","31-50","No","Street"
"4738",10135,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","ORCHARD HILLS DR","202 ORCHARD HILLS DR","Neutral","0 - 5","11-20","No","Street"
"4739",31775,"pear","pear, callery","Pyrus","Pyrus calleryana","GLENDALE DR","1816 ABBOTT AVE","Neutral","6 - 10","31-50","No","Street"
"4740",31824,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","ABBOTT AVE","2106 ABBOTT AVE","Neutral","11 - 15","31-50","No","Street"
"4741",31818,"maple","maple, Freeman","Acer","Acer x freemanii","PLEASANT PL","2102 ABBOTT AVE","Neutral","11 - 15","31-50","No","Street"
"4742",46474,"oak","oak, northern red","Quercus","Quercus rubra","LINWOOD AVE","1200 LINWOOD AVE","Good","6 - 10","31-50","No","Street"
"4743",32267,"douglas-fir","douglas-fir","Pseudotsuga","Pseudotsuga menziesii","W LIBERTY ST","1850 W LIBERTY ST","Good","6 - 10","31-50","No","Street"
"4744",31769,"maple","maple, sugar","Acer","Acer saccharum","ABBOTT AVE","1810 ABBOTT AVE","Neutral","16 - 20","51-70","Yes","Street"
"4745",31283,"maple","maple, Norway","Acer","Acer platanoides","ABBOTT AVE","300 MONTGOMERY AVE","Neutral","16 - 20","51-70","Yes","Street"
"4746",215413,"hackberry","hackberry, common","Celtis","Celtis occidentalis","SOULE BLVD","1310 LUTZ AVE","Good","0 - 5","0 - 10","No","Street"
"4748",170953,"elm","elm, hybrid","Ulmus","Ulmus x","S SEVENTH ST","514 S SEVENTH ST","Good","0 - 5","20 - 30","No","Street"
"4749",147690,"cherry/plum","plum, cherry","Prunus","Prunus cerasifera","S SEVENTH ST","312 S SEVENTH ST","Good","0 - 5","0 - 10","No","Street"
"4750",49130,"cherry/plum","cherry, black","Prunus","Prunus serotina","CLOVERDALE PARK","CLOVERDALE PARK","Neutral","6 - 10","31-50","No","Park"
"4751",126007,"cherry","cherry, choke (Canada Red Select)","Prunus","Prunus virginiana","SOUTHEAST AREA PARK","SOUTHEAST AREA PARK","Very Good","0 - 5","0 - 10","No","Park"
"4752",36103,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","S MAPLE RD","1451 S MAPLE RD","Neutral","0 - 5","11-20","No","Street"
"4753",35605,"maple","maple, silver","Acer","Acer saccharinum","LAS VEGAS DR","1414 LAS VEGAS DR","Neutral","11 - 15","31-50","No","Street"
"4754",9004,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","WASHTENAW AVE","1617 WASHTENAW AVE","Neutral","6 - 10","31-50","No","Street"
"4755",56753,"maple","maple, Norway","Acer","Acer platanoides","ROOSEVELT AVE","1216 ROOSEVELT AVE","Good","0 - 5","11-20","No","Street"
"4756",21988,"serviceberry","serviceberry, Allegheny","Amelanchier","Amelanchier laevis","SCIO CHURCH RD","2006 MERSHON DR","Very Good","0 - 5","0 - 10","No","Street"
"4757",34480,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","LAWTON PARK","LAWTON PARK","Neutral","0 - 5","0 - 10","No","Park"
"4758",22621,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","DELAWARE DR","2370 DELAWARE DR","Good","16 - 20","51-70","Yes","Street"
"4759",8014,"maple","maple, Norway","Acer","Acer platanoides","LINCOLN AVE","1426 BROOKLYN AVE","Neutral","21 - 25","GT70","Yes","Street"
"4760",163336,"oak","oak, swamp white","Quercus","Quercus bicolor","BROOKLYN AVE","1421 BROOKLYN AVE","Very Good","6 - 10","0 - 10","No","Street"
"4762",8506,"linden","linden, littleleaf","Tilia","Tilia cordata","FERDON RD","1070 FERDON RD","Neutral","16 - 20","31-50","No","Street"
"4763",19824,"maple","maple, red","Acer","Acer rubrum","CRANBROOK PARK","CRANBROOK PARK","Neutral","0 - 5","11-20","No","Park"
"4764",44802,"linden","linden, littleleaf","Tilia","Tilia cordata","PINE TREE DR","1022 PINE TREE DR","Neutral","11 - 15","51-70","No","Street"
"4765",44808,"maple","maple, Miyabei","Acer","Acer miyabei","PINE TREE DR","1050 PINE TREE DR","Very Good","0 - 5","0 - 10","No","Street"
"4767",14506,"maple","maple, Norway","Acer","Acer platanoides","MINER ST","627 HISCOCK ST","Neutral","11 - 15","21-30","No","Street"
"4768",25818,"pine","pine, Austrian","Pinus","Pinus nigra","E EISENHOWER PKWY","316 E EISENHOWER PKWY","Neutral","6 - 10","21-30","No","Street"
"4769",25824,"pine","pine, Austrian","Pinus","Pinus nigra","E EISENHOWER PKWY","316 E EISENHOWER PKWY","Neutral","6 - 10","11-20","No","Street"
"4770",7971,"maple","maple, red","Acer","Acer rubrum","S STATE ST","2750 S STATE ST","Bad","6 - 10","11-20","No","Street"
"4773",21490,"maple","maple, Norway","Acer","Acer platanoides","NORTHBROOK DR","1600 NORTHBROOK DR","Neutral","6 - 10","11-20","No","Street"
"4774",21496,"maple","maple, red","Acer","Acer rubrum","NORTHBROOK DR","1640 NORTHBROOK DR","Neutral","6 - 10","21-30","No","Street"
"4775",21447,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","NORTHBROOK DR","1495 NORTHBROOK DR","Neutral","0 - 5","0 - 10","No","Street"
"4776",25277,"katsura","katsuratree","Cercidiphyllum","Cercidiphyllum japonicum","SIGNATURE BLVD","361 W EISENHOWER PKWY","Very Good","0 - 5","0 - 10","No","Street"
"4777",25283,"dogwood","dogwood, Kousa","Cornus","Cornus kousa","SIGNATURE BLVD","2900 SIGNATURE BLVD","Very Good","0 - 5","0 - 10","No","Street"
"4778",15004,"baldcypress","baldcypress, common","Taxodium","Taxodium distichum","N ASHLEY ST","512 N ASHLEY ST","Very Good","0 - 5","0 - 10","No","Street"
"4779",30644,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","N FIRST ST","220 W ANN ST","Neutral","0 - 5","0 - 10","No","Street"
"4780",14955,"walnut","walnut, black","Juglans","Juglans nigra","FELCH ST","417 FELCH ST","Neutral","21 - 25","51-70","No","Street"
"4781",48589,"pine","pine, Austrian","Pinus","Pinus nigra","SUGARBUSH PARK","SUGARBUSH PARK","Neutral","11 - 15","31-50","No","Park"
"4782",48595,"pine","pine, Austrian","Pinus","Pinus nigra","SUGARBUSH PARK","SUGARBUSH PARK","Neutral","6 - 10","31-50","No","Park"
"4783",5850,"maple","maple, sugar","Acer","Acer saccharum","THIRD ST","421 W JEFFERSON ST","Good","26 - 30","GT70","Yes","Street"
"4784",6348,"honeylocust","honeylocust","Gleditsia","Gleditsia triacanthos","S MAIN ST","347 S MAIN ST","Good","11 - 15","20 - 30","No","Street"
"4785",6299,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","S MAIN ST","350 S MAIN ST","Good","6 - 10","21-30","No","Street"
"4786",42644,"linden","linden, littleleaf","Tilia","Tilia cordata","JOHN A WOODS DR","900 JOHN A WOODS DR","Neutral","16 - 20","51-70","No","Street"
"4787",42638,"spruce","spruce, Norway","Picea","Picea abies","JOHN A WOODS DR","1529 PEAR ST","Good","11 - 15","51-70","No","Street"
"4788",17660,"maple","maple, red","Acer","Acer rubrum","LINCOLNSHIRE LN","1257 LINCOLNSHIRE LN","Good","0 - 5","11-20","No","Street"
"4789",48097,"hickory","hickory, shagbark","Carya","Carya ovata","NEWPORT RD","2410 NEWPORT RD","Good","16 - 20","51-70","Yes","Street"
"4790",52966,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","CEDARBROOK RD","3055 CEDARBROOK RD","Good","11 - 15","31-50","No","Street"
"4791",52425,"linden","linden, littleleaf","Tilia","Tilia cordata","BLUETT DR","3302 YELLOWSTONE DR","Good","6 - 10","31-50","No","Street"
"4792",3643,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","CAMELOT RD","1948 CAMELOT RD","Neutral","6 - 10","21-30","No","Street"
"4793",3686,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","INDEPENDENCE BLVD","2232 INDEPENDENCE BLVD","Good","16 - 20","51-70","Yes","Street"
"4794",204593,"ginkgo","ginkgo","Ginkgo","Ginkgo biloba","ANDERSON AVE","2016 ANDERSON AVE","Good","0 - 5","0 - 10","No","Street"
"4795",43130,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","TRAVER RD","900 JOHN A WOODS DR","Good","21 - 25","31-50","No","Street"
"4796",19326,"pine","pine, eastern white","Pinus","Pinus strobus","BURR OAK PARK","BURR OAK PARK","Neutral","0 - 5","21-30","No","Park"
"4797",33447,"spruce","spruce, Colorado","Picea","Picea pungens","JACKSON RD","3050 JACKSON RD","Neutral","11 - 15","31-50","No","Street"
"4798",33441,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","JACKSON RD","3050 JACKSON RD","Neutral","6 - 10","0 - 10","No","Street"
"4800",3637,"maple","maple, sugar","Acer","Acer saccharum","CAMELOT RD","1920 CAMELOT RD","Good","11 - 15","31-50","No","Street"
"4801",53956,"maple","maple, sugar","Acer","Acer saccharum","N FIFTH AVE","703 N FIFTH AVE","Neutral","11 - 15","51-70","No","Street"
"4802",42589,"buckeye","buckeye, yellow","Aesculus","Aesculus octandra","WRIGHT ST","1321 WRIGHT ST","Very Good","0 - 5","0 - 10","No","Street"
"4803",338810,"baldcypress","baldcypress, common","Taxodium","Taxodium distichum","LAKEWOOD DR","3265 LAKEWOOD DR","Very Good","0 - 5","0 - 10","No","Street"
"4804",338767,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","LAKEWOOD DR","3176 LAKEWOOD DR","Very Good","0 - 5","0 - 10","No","Street"
"4805",19332,"spruce","spruce, Colorado","Picea","Picea pungens","BURR OAK PARK","BURR OAK PARK","Bad","0 - 5","21-30","No","Park"
"4806",18834,"pine","pine, eastern white","Pinus","Pinus strobus","GARDEN HOMES PARK","GARDEN HOMES PARK","Neutral","0 - 5","0 - 10","No","Park"
"4807",19283,"walnut","walnut, black","Juglans","Juglans nigra","BELIZE PARK","BELIZE PARK","Neutral","31 - 35","51-70","Yes","Park"
"4808",40966,"yellowwood","yellowwood, American","Cladrastis","Cladrastis kentukea","BLUETT DR","2814 RENFREW ST","Very Good","0 - 5","0 - 10","No","Street"
"4809",38808,"oak","oak, black","Quercus","Quercus velutina","PITTSFIELD BLVD","2606 PITTSFIELD BLVD","Very Good","0 - 5","0 - 10","No","Street"
"4810",38802,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","PITTSFIELD BLVD","2609 PITTSFIELD BLVD","Neutral","6 - 10","11-20","No","Street"
"4812",29605,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","HURON PKWY","1550 HURON PKWY","Good","6 - 10","11-20","No","Street"
"4813",29611,"hawthorn","hawthorn, Washington","Crataegus","Crataegus phaenopyrum","HURON PKWY","1550 HURON PKWY","Neutral","0 - 5","11-20","No","Street"
"4814",52923,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","YORKTOWN DR","2065 YORKTOWN DR","Good","21 - 25","51-70","Yes","Street"
"4815",52917,"maple","maple, red","Acer","Acer rubrum","YORKTOWN DR","2133 YORKTOWN DR","Good","11 - 15","31-50","No","Street"
"4816",40972,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","BLUETT DR","2665 SHEFMAN TER","Very Good","0 - 5","0 - 10","No","Street"
"4817",12293,"maple","maple, red","Acer","Acer rubrum","MEADOWRIDGE CT","2405 MEADOWRIDGE CT","Neutral","0 - 5","11-20","No","Street"
"4818",12840,"arborvitae","arborvitae, eastern","Thuja","Thuja occidentalis","TRAVER BLVD","2695 TRAVER BLVD","Good","0 - 5","0 - 10","No","Street"
"4819",12834,"spruce","spruce, Colorado","Picea","Picea pungens","TRAVER BLVD","2703 TRAVER BLVD","Good","0 - 5","0 - 10","No","Street"
"4820",12342,"maple","maple, Norway","Acer","Acer platanoides","DHU VARREN RD","2995 S FOXRIDGE CT","Good","0 - 5","21-30","No","Street"
"4821",2014,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","WALTHAM DR","1807 WALTHAM DR","Good","11 - 15","31-50","No","Street"
"4822",2020,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","WALTHAM DR","1737 WALTHAM DR","Neutral","21 - 25","31-50","Yes","Street"
"4823",36097,"pagodatree","Japanese pagodatree","Sophora","Sophora japonica","S MAPLE RD","1535 S MAPLE RD","Neutral","0 - 5","0 - 10","No","Street"
"4825",51300,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","HICKORY LN","2969 HICKORY LN","Good","16 - 20","51-70","No","Street"
"4826",51251,"maple","maple, Norway","Acer","Acer platanoides","HICKORY LN","2920 DEVONSHIRE RD","Neutral","6 - 10","31-50","No","Street"
"4827",10627,"oak","oak, white","Quercus","Quercus alba","GEDDES AVE","3076 GEDDES AVE","Neutral","26 - 30","51-70","Yes","Street"
"4828",4184,"maple","maple, Norway","Acer","Acer platanoides","CUMBERLAND AVE","2753 CUMBERLAND AVE","Good","21 - 25","51-70","Yes","Street"
"4829",38261,"maple","maple, Norway","Acer","Acer platanoides","HAMPSHIRE RD","2621 HAMPSHIRE RD","Good","16 - 20","31-50","Yes","Street"
"4831",29119,"elm","elm, American","Ulmus","Ulmus americana","EARHART RD","1201 EARHART RD","Neutral","21 - 25","51-70","Yes","Street"
"4832",981,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","GREEN RD","3515 LARCHMONT DR","Good","0 - 5","0 - 10","No","Street"
"4833",51792,"elm","elm, American","Ulmus","Ulmus americana","ARLINGTON BLVD","1573 ARLINGTON BLVD","Neutral","31 - 35","51-70","Yes","Borderline"
"4834",5309,"maple","maple, Norway","Acer","Acer platanoides","MILLS CT","3124 MILLS CT","Good","6 - 10","21-30","No","Street"
"4835",11168,"elm","elm, American","Ulmus","Ulmus americana","STANTON CT","3555 STANTON CT","Good","0 - 5","0 - 10","No","Street"
"4836",207790,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","PAISLEY CT","3513 PAISLEY CT","Good","0 - 5","0 - 10","No","Street"
"4838",29113,"hickory","hickory, shagbark","Carya","Carya ovata","EARHART RD","1201 EARHART RD","Neutral","0 - 5","21-30","No","Street"
"4839",36146,"hophornbeam","hophornbeam, American","Ostrya","Ostrya virginiana","IROQUOIS PL","1423 IROQUOIS PL","Very Good","0 - 5","0 - 10","No","Street"
"4840",20457,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","FRISINGER PARK","FRISINGER PARK","Neutral","11 - 15","31-50","Yes","Park"
"4841",49087,"maple","maple, red","Acer","Acer rubrum","EARHART WEST PARK","EARHART WEST PARK","Good","11 - 15","51-70","No","Park"
"4842",47464,"baldcypress","baldcypress, common","Taxodium","Taxodium distichum","SEQUOIA PKWY","784 KUEHNLE AVE","Good","0 - 5","0 - 10","No","Street"
"4844",49628,"pine","pine, eastern white","Pinus","Pinus strobus","WOODBURY PARK","WOODBURY PARK","Neutral","6 - 10","51-70","No","Park"
"4845",37818,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","ANDERSON AVE","1616 ANDERSON AVE","Good","26 - 30","51-70","Yes","Street"
"4846",37775,"zelkova","zelkova, Japanese","Zelkova","Zelkova serrata","FERDON RD","2029 FERDON RD","Neutral","0 - 5","11-20","No","Street"
"4847",37769,"maple","maple, sugar","Acer","Acer saccharum","BROCK CT","1938 BROCK CT","Good","26 - 30","GT70","Yes","Street"
"4848",36152,"maple","maple, sugar","Acer","Acer saccharum","IROQUOIS PL","1415 IROQUOIS PL","Neutral","16 - 20","51-70","Yes","Street"
"4850",30152,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","WASHTENAW AVE","250 WASHTENAW AVE","Good","11 - 15","31-50","No","Street"
"4852",36644,"maple","maple, sugar","Acer","Acer saccharum","PAGE AVE","2600 PAGE CT","Good","11 - 15","31-50","No","Street"
"4854",55628,"maple","maple, sugar","Acer","Acer saccharum","MT VERNON AVE","700 MT PLEASANT AVE","Good","0 - 5","21-30","No","Street"
"4855",55622,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","MT VERNON AVE","803 MT VERNON AVE","Good","6 - 10","21-30","No","Street"
"4856",1479,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","SHERWOOD CIR","980 SHERWOOD ST","Neutral","6 - 10","21-30","No","Street"
"4857",1473,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","SHERWOOD CIR","930 SHERWOOD ST","Good","0 - 5","11-20","No","Street"
"4858",29660,"osage-orange","osage-orange","Maclura","Maclura pomifera","FULLER RD","2555 FULLER RD","Good","6 - 10","31-50","No","Street"
"4859",55130,"maple","maple, sugar","Acer","Acer saccharum","HUTCHINS AVE","707 HUTCHINS AVE","Good","21 - 25","50 - 70","Yes","Street"
"4860",55087,"maple","maple, sugar","Acer","Acer saccharum","PRINCETON AVE","704 PRINCETON AVE","Good","31 - 35","GT70","Yes","Street"
"4861",55579,"maple","maple, red","Acer","Acer rubrum","W MADISON ST","1303 W MADISON ST","Good","0 - 5","11-20","No","Street"
"4862",46923,"maple","maple, Norway","Acer","Acer platanoides","PATRICIA AVE","704 PATRICIA AVE","Good","16 - 20","31-50","Yes","Street"
"4863",319340,"elm","elm, hybrid","Ulmus","Ulmus americana","SUSAN DR","625 SUSAN DR","Very Good","0 - 5","0 - 10","No","Street"
"4864",349138,"oak","oak, black","Quercus","Quercus velutina","ALICE ST","511 BRUCE ST","Very Good","0 - 5","0 - 10","No","Street"
"4865",45300,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","CREAL CRES","1404 CREAL CRES","Neutral","0 - 5","11-20","No","Street"
"4866",16627,"maple","maple, red","Acer","Acer rubrum","N MAPLE RD","1251 N MAPLE RD","Good","0 - 5","11-20","No","Borderline"
"4867",38316,"hackberry","hackberry, common","Celtis","Celtis occidentalis","CRANBROOK RD","2729 CRANBROOK RD","Very Good","0 - 5","0 - 10","No","Street"
"4868",46966,"maple","maple, Tatarian","Acer","Acer tataricum","PATRICIA AVE","811 PATRICIA AVE","Good","0 - 5","0 - 10","No","Street"
"4869",46972,"maple","maple, Norway","Acer","Acer platanoides","PATRICIA AVE","245 PATRICIA AVE","Neutral","16 - 20","51-70","Yes","Street"
"4870",16621,"maple","maple, Norway","Acer","Acer platanoides","N MAPLE RD","1062 N MAPLE RD","Good","16 - 20","51-70","Yes","Street"
"4871",24785,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","WOODCREEK BLVD","1900 WOODCREEK BLVD","Bad","0 - 5","0 - 10","No","Street"
"4872",27988,"spruce","spruce, white","Picea","Picea glauca","CHALMERS DR","1940 CHALMERS DR","Neutral","6 - 10","31-50","No","Street"
"4873",4178,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","CUMBERLAND AVE","2817 CUMBERLAND AVE","Neutral","0 - 5","11-20","No","Street"
"4874",38310,"maple","maple, Norway","Acer","Acer platanoides","CRANBROOK RD","2811 CRANBROOK RD","Good","21 - 25","51-70","Yes","Street"
"4875",39982,"hemlock","hemlock, eastern","Tsuga","Tsuga candensis","DORSET RD","2112 HILL ST","Good","6 - 10","21-30","No","Street"
"4876",9147,"maple","maple, silver","Acer","Acer saccharinum","BROCKMAN BLVD","2201 BROCKMAN BLVD","Neutral","26 - 30","51-70","Yes","Street"
"4877",51935,"maple","maple, sugar","Acer","Acer saccharum","SHERIDAN DR","1532 SHERIDAN DR","Neutral","16 - 20","31-50","Yes","Street"
"4878",39790,"maple","maple, Norway","Acer","Acer platanoides","LONDONDERRY RD","2427 LONDONDERRY RD","Neutral","11 - 15","31-50","No","Street"
"4881",22970,"linden","linden, littleleaf","Tilia","Tilia cordata","TACOMA CIR","3393 TACOMA CIR","Neutral","16 - 20","51-70","Yes","Street"
"4882",37377,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","E EISENHOWER PKWY","2871 E EISENHOWER PKWY","Good","6 - 10","11-20","No","Street"
"4883",37036,"linden","linden, littleleaf","Tilia","Tilia cordata","BOARDWALK DR","2575 BOARDWALK DR","Neutral","0 - 5","11-20","No","Street"
"4884",21147,"linden","linden, littleleaf","Tilia","Tilia cordata","BUHR PARK","BUHR PARK","Neutral","16 - 20","51-70","Yes","Park"
"4885",3245,"maple","maple, red","Acer","Acer rubrum","GLADSTONE AVE","2700 GLADSTONE AVE","Neutral","6 - 10","11-20","No","Street"
"4886",2904,"oak","oak, northern red","Quercus","Quercus rubra","PACKARD RD","2624 PACKARD RD","Good","16 - 20","31-50","Yes","Street"
"4887",36787,"maple","maple, silver","Acer","Acer saccharinum","PAGE AVE","2875 PAGE AVE","Neutral","21 - 25","51-70","Yes","Street"
"4888",414456,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","E EISENHOWER PKWY","777 E EISENHOWER PKWY","Very Good","0 - 5","0 - 10","No","Street"
"4889",18393,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","0 - 5","11-20","No","Park"
"4890",18642,"hornbeam","hornbeam, American","Carpinus","Carpinus caroliniana","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","0 - 5","0 - 10","No","Park"
"4891",10229,"pine","pine, eastern white","Pinus","Pinus strobus","ROCK CREEK CT","336 ROCK CREEK CT","Good","21 - 25","51-70","Yes","Street"
"4892",23311,"maple","maple, silver","Acer","Acer saccharinum","N BAYLIS DR","3101 N BAYLIS DR","Neutral","16 - 20","51-70","No","Street"
"4893",31626,"pear","pear, callery","Pyrus","Pyrus calleryana","GLENDALE CIR","583 GLENDALE CIR","Neutral","6 - 10","21-30","No","Street"
"4894",68263,"yellowwood","yellowwood, American","Cladrastis","Cladrastis kentukea","ABBOTT AVE","1804 ABBOTT AVE","Very Good","0 - 5","0 - 10","No","Street"
"4895",16478,"maple","maple, red","Acer","Acer rubrum","FAYE DR","2229 FAYE DR","Good","6 - 10","31-50","No","Street"
"4896",44610,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","MILLER AVE","730 MILLER AVE","Neutral","16 - 20","31-50","No","Street"
"4897",31967,"maple","maple, Norway","Acer","Acer platanoides","CHARLTON AVE","2125 CHARLTON AVE","Neutral","16 - 20","51-70","Yes","Street"
"4898",34380,"mulberry","mulberry, white","Morus","Morus alba","LESLIE SCIENCE CENTER","LESLIE SCIENCE CENTER","Neutral","6 - 10","21-30","No","Park"
"4899",49279,"hackberry","hackberry, common","Celtis","Celtis occidentalis","LESLIE PARK","LESLIE PARK","Neutral","0 - 5","11-20","No","Park"
"4900",32216,"pine","pine, Austrian","Pinus","Pinus nigra","W LIBERTY ST","1606 W LIBERTY ST","Good","0 - 5","11-20","No","Street"
"4901",31377,"maple","maple, Norway","Acer","Acer platanoides","S REVENA BLVD","313 S REVENA BLVD","Neutral","16 - 20","51-70","Yes","Street"
"4902",31134,"maple","maple, sugar","Acer","Acer saccharum","BUENA VISTA AVE","226 BUENA VISTA AVE","Neutral","11 - 15","51-70","No","Street"
"4903",27888,"maple","maple, Norway","Acer","Acer platanoides","FIFTH ST","521 FIFTH ST","Neutral","21 - 25","51-70","Yes","Street"
"4904",1330,"maple","maple, red","Acer","Acer rubrum","DARTMOOR RD","834 DARTMOOR RD","Good","0 - 5","11-20","No","Street"
"4905",11409,"spruce","spruce, Colorado","Picea","Picea pungens","GLAZIER WAY","3000 GLAZIER WAY","Neutral","11 - 15","51-70","No","Street"
"4906",11311,"maple","maple, red","Acer","Acer rubrum","ANDOVER RD","3390 ANDOVER RD","Neutral","6 - 10","31-50","No","Street"
"4908",1822,"goldenraintree","goldenraintree","Koelreuteria","Koelreuteria paniculata","SCIO CHURCH RD","1920 MERSHON DR","Neutral","0 - 5","11-20","No","Street"
"4909",35462,"hickory","hickory, shagbark","Carya","Carya ovata","WESTFIELD AVE","1510 WESTFIELD AVE","Neutral","6 - 10","51-70","No","Street"
"4910",50610,"pine","pine, Austrian","Pinus","Pinus nigra","SOUTHEAST AREA PARK","SOUTHEAST AREA PARK","Good","6 - 10","31-50","No","Park"
"4911",35954,"planetree/sycamore","planetree, London","Platanus","Platanus x acerifolia","NORFOLK AVE","2002 NORFOLK AVE","Bad","11 - 15","31-50","No","Street"
"4912",32459,"oak","oak, black","Quercus","Quercus velutina","COMMERCE DR","2075 COMMERCE DR","Good","0 - 5","0 - 10","No","Street"
"4913",22478,"pear","pear, callery","Pyrus","Pyrus calleryana","DUNDEE DR","2364 DUNDEE DR","Neutral","0 - 5","11-20","No","Street"
"4914",19724,"spruce","spruce, Colorado","Picea","Picea pungens","LANSDOWNE PARK","LANSDOWNE PARK","Neutral","6 - 10","31-50","No","Park"
"4915",21396,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","NORTHBROOK DR","1870 NORTHBROOK DR","Good","11 - 15","31-50","No","Street"
"4916",21888,"hackberry","hackberry, common","Celtis","Celtis occidentalis","CHAUCER CT","2155 ASCOT RD","Good","0 - 5","11-20","No","Street"
"4917",21639,"oak","oak, English","Quercus","Quercus robur","BRAESIDE PL","743 BRAESIDE PL","Very Good","0 - 5","0 - 10","No","Street"
"4918",9494,"maple","maple, Norway","Acer","Acer platanoides","FAIR OAKS PKWY","1111 FAIR OAKS PKWY","Good","21 - 25","51-70","Yes","Street"
"4919",293515,"oak","oak, swamp white","Quercus","Quercus bicolor","WELLS ST","1158 BALDWIN AVE","Very Good","0 - 5","0 - 10","No","Street"
